venue,venue_type,toss_winner,toss_decision,batting_first,ind_batting_strength,ind_bowling_strength,afg_batting_strength,afg_bowling_strength,ind_recent_form,afg_recent_form,ind_icc_rank,afg_icc_rank,ind_player_form_idx,afg_player_form_idx,ind_score,afg_score,margin,winner,top_scorer,top_bowler,ind_h2h_win_pct,ind_avg_score,afg_avg_score
Delhi,Home_India,India,Bat,India,70.63547816860238,77.15782853986609,60.785729642168356,79.63743945906695,0.6257423924305306,0.5034282764658811,1,9,87.22699421778279,57.478766874466245,296,300,3 wickets,Afghanistan,Ibrahim Zadran,Fazalhaq Farooqi,0.761571329956897,265.6,255.0
Sharjah,Neutral,India,Bat,India,75.71995413729056,76.53959819657587,67.2437863228442,68.70808960684211,0.8718790609370293,0.6232481518257668,1,9,79.0021126953127,76.14381770563153,304,265,39 runs,India,Virat Kohli,Naveen-ul-Haq,0.8010930576594149,269.2,258.5
Mumbai,Home_India,Afghanistan,Bat,Afghanistan,92.31397496224945,85.78684483831302,80.18600387910156,85.61009989824035,0.6272013899887455,0.34402076981107066,1,9,66.83805487625825,62.81323365878769,258,292,34 runs,Afghanistan,Hashmatullah Shahidi,Jasprit Bumrah,0.7997254315948472,271.5,261.1
Chennai,Home_India,Afghanistan,Bat,Afghanistan,70.17380326327977,85.21494605155132,70.43527507871947,70.1084796408268,0.5479461469334731,0.43504606856145117,1,9,88.28729111737557,59.696087960622656,249,247,8 wickets,India,Suryakumar Yadav,Ravindra Jadeja,0.7560401868792928,266.3,264.4
Dubai,Neutral,India,Bat,India,82.96976554358415,89.06037917790356,69.09074005948236,87.35098790258209,0.8849789179768446,0.40071291833014566,1,9,74.91745517677157,59.02634929450309,261,264,4 wickets,Afghanistan,Rahmanullah Gurbaz,Kuldeep Yadav,0.8106859703602948,272.1,270.8
Delhi,Home_India,India,Bat,India,71.28696878124974,80.57292928473223,82.70664714916634,70.50992348534037,0.5579579488364892,0.49578110411102516,1,9,89.56951362331802,57.26165814534501,393,321,72 runs,India,Suryakumar Yadav,Jasprit Bumrah,0.8308326398921565,285.0,276.1
Mumbai,Home_India,India,Field,Afghanistan,75.94093859981,89.5643269722372,69.19457831798132,79.54303410365233,0.7534118843043579,0.5143098736299033,1,9,62.70869310163225,75.05907486767714,268,262,6 wickets,India,Ibrahim Zadran,Rashid Khan,0.8249008054248479,278.9,273.6
Sharjah,Neutral,India,Bat,India,78.0195016242934,78.73037020799708,61.0193785388691,78.59053769332957,0.771025744736913,0.30663513157114247,1,9,75.36279174897842,56.79487325593814,288,229,59 runs,India,Rahmanullah Gurbaz,Jasprit Bumrah,0.7702969414164184,284.3,270.6
Delhi,Home_India,India,Field,Afghanistan,87.27344345256165,82.73470692601074,83.41824971841837,68.16298171535784,0.6364265404201034,0.3453894084962356,1,9,87.74080854835688,76.32018060142943,266,264,8 wickets,India,Rohit Sharma,Ravindra Jadeja,0.8362292529554212,286.8,273.3
Dubai,Neutral,Afghanistan,Bat,Afghanistan,90.4305550050304,86.10401623198925,73.24126445890016,70.56260269071039,0.5372411071223597,0.6588863031813307,1,9,87.01254171489991,68.99304371819804,209,203,7 wickets,India,Virat Kohli,Rashid Khan,0.7842542165659352,279.2,264.7
Delhi,Home_India,Afghanistan,Field,India,78.47574477621751,81.98419149225322,78.14889197175599,85.63353597890926,0.8548345697060469,0.6119502183430495,1,9,79.26094938462863,52.52419894985147,267,268,4 wickets,Afghanistan,Virat Kohli,Fazalhaq Farooqi,0.8446508378291941,276.3,261.5
Mumbai,Home_India,India,Field,Afghanistan,70.12653959615547,78.21616102834997,73.71834473416465,80.91358954693195,0.7607845038010402,0.3897077237842239,1,9,81.36537664042608,57.117472624904,223,218,4 wickets,India,Rohit Sharma,Ravindra Jadeja,0.7571747964225715,268.2,256.8
Mumbai,Home_India,India,Field,Afghanistan,78.1349924539817,89.92982810236049,76.24082247618037,84.5321384413661,0.7630451569201373,0.5273234413341886,1,9,62.81024303484278,61.031474091783004,215,213,7 wickets,India,Hashmatullah Shahidi,Jasprit Bumrah,0.7986208688519844,263.9,248.9
Dubai,Neutral,Afghanistan,Field,India,94.32526386881113,82.8619544933352,82.30116387942783,79.51618839793704,0.8179245214166594,0.5010548372420768,1,9,77.30711653879078,64.77553081456591,239,245,6 wickets,Afghanistan,Rahmanullah Gurbaz,Rashid Khan,0.8097124377177549,262.9,248.7
Sharjah,Neutral,India,Field,Afghanistan,74.88107469495111,89.44904230523011,67.01930906102139,65.55926722792344,0.7581889183628672,0.37084427176281953,1,9,88.21375753058743,78.61785731007762,238,233,7 wickets,India,Mohammad Nabi,Fazalhaq Farooqi,0.7747650098474606,260.6,245.6
Delhi,Home_India,India,Bat,India,70.38641541322168,93.5663712517545,70.70460370793286,87.2330608380044,0.8854479908357011,0.641203782186944,1,9,68.83346676208757,61.55293185805776,341,300,41 runs,India,Suryakumar Yadav,Rashid Khan,0.8271380188720228,255.4,243.5
Dubai,Neutral,Afghanistan,Field,India,74.23731866715231,86.136025249167,83.40386935401952,81.00868532352438,0.7280244680357459,0.3388705975083074,1,9,78.45021680097508,79.7016155031279,345,294,51 runs,India,Shubman Gill,Jasprit Bumrah,0.8126895679810717,263.1,246.7
Kabul,Home_Afg,Afghanistan,Field,India,91.93432679819888,89.8153723550841,77.4253935248817,81.15713393170351,0.6437964604879021,0.4174367377057973,1,9,84.28083466435541,74.30340184037541,231,232,3 wickets,Afghanistan,Ibrahim Zadran,Mohammed Shami,0.7518109437287956,257.4,247.0
Sharjah,Neutral,Afghanistan,Bat,Afghanistan,91.67680796450259,93.26481105112943,72.78355997152345,76.53487477780558,0.8193180715867101,0.559985572311106,1,9,81.0590063177311,73.87378008308303,231,272,41 runs,Afghanistan,Hashmatullah Shahidi,Ravindra Jadeja,0.8108368590696237,253.9,247.8
Chennai,Home_India,Afghanistan,Bat,Afghanistan,79.3895738159986,76.87963879681737,74.45700352490435,65.82667229732508,0.686239207252984,0.5170578538830306,1,9,68.59623756384853,67.72499781707032,230,225,6 wickets,India,Suryakumar Yadav,Jasprit Bumrah,0.7991478234418447,256.0,250.0
Delhi,Home_India,India,Field,Afghanistan,73.17651281629712,85.44486520109609,79.24983882746527,69.9638836324274,0.7491561903276001,0.3341389859975072,1,9,61.55045163505823,65.94063894704443,274,272,6 wickets,India,Rohit Sharma,Mohammed Siraj,0.7696029201703508,256.7,250.4
Delhi,Home_India,India,Field,Afghanistan,83.51587804025266,87.74859802996413,78.15228334306654,87.44459782763829,0.7065201393204781,0.4291825891764984,1,9,83.8555858430611,58.124967537862226,232,260,28 runs,Afghanistan,Shubman Gill,Kuldeep Yadav,0.849574822705953,257.6,254.6
Sharjah,Neutral,Afghanistan,Bat,Afghanistan,70.63376858538643,94.2529682935585,80.89950301280514,81.00740674015506,0.6635811777657079,0.3693177280283383,1,9,64.69311128013258,57.50728694493786,298,292,5 wickets,India,Virat Kohli,Fazalhaq Farooqi,0.8397162194827615,265.9,262.5
Delhi,Home_India,Afghanistan,Field,India,86.50493441794328,80.59867793891885,83.87163201657985,81.97162908400267,0.7217416210045603,0.5446882984937409,1,9,72.5880018728337,57.431929685034724,270,271,5 wickets,Afghanistan,Suryakumar Yadav,Rashid Khan,0.7792507695029064,269.0,265.1
Dubai,Neutral,India,Bat,India,78.89931696628153,90.15692220928739,60.359837215743894,67.66967073165907,0.5184010568087011,0.31629152092758805,1,9,85.66381752033021,71.10973578140072,236,238,6 wickets,Afghanistan,Rahmanullah Gurbaz,Mujeeb Ur Rahman,0.8041070920798616,268.8,265.6
Chennai,Home_India,India,Field,Afghanistan,82.29039687792081,84.46943541561131,64.33004674775037,74.97858793247337,0.6594018937589494,0.5463400392208866,1,9,79.05280952602931,51.35912029316133,244,238,4 wickets,India,Virat Kohli,Naveen-ul-Haq,0.7816502139910291,259.1,259.4
Kabul,Home_Afg,Afghanistan,Bat,Afghanistan,79.36531536566179,87.51719831428473,72.5784064645022,84.69926634733142,0.763477452647578,0.36517377083257185,1,9,62.11706242201289,69.27257834618948,248,242,5 wickets,India,Rahmat Shah,Jasprit Bumrah,0.8275495751636078,249.4,254.2
Sharjah,Neutral,Afghanistan,Field,India,93.50575603562393,86.50948355751758,69.70424815516304,79.79562902417412,0.6833011561966067,0.5182467157263739,1,9,88.24394426329576,61.58307913402323,250,251,5 wickets,Afghanistan,Rahmanullah Gurbaz,Kuldeep Yadav,0.8430331433196455,251.3,256.1
Kabul,Home_Afg,Afghanistan,Field,India,94.02976409559786,93.10701283912127,64.8947783697324,66.59530992012881,0.5403112005509707,0.30728873026061987,1,9,62.83328882267785,70.4902032024907,313,273,40 runs,India,Virat Kohli,Mohammed Shami,0.7858828606914384,259.5,256.2
Chennai,Home_India,Afghanistan,Bat,Afghanistan,91.12188277423637,75.46543871471651,80.36171206472339,71.4826598197882,0.5472659310486625,0.5786948661456602,1,9,78.86828540339653,76.3241604058116,269,264,5 wickets,India,Virat Kohli,Jasprit Bumrah,0.8305584249143628,263.4,260.1
Kabul,Home_Afg,India,Field,Afghanistan,77.05086431428266,78.54879087559446,78.76536879102146,83.55719900314708,0.8962020568002693,0.4650470707645706,1,9,71.16054257378349,73.29238882225991,264,258,7 wickets,India,Virat Kohli,Naveen-ul-Haq,0.7998407542713205,262.4,258.7
Chennai,Home_India,India,Field,Afghanistan,78.52008850632545,93.61514651207129,81.4603187960753,74.86686262962542,0.800348427116599,0.6018171496338729,1,9,63.09371606507798,77.076587200387,280,279,6 wickets,India,Rohit Sharma,Mohammed Shami,0.7896578561311578,267.2,260.6
Dubai,Neutral,Afghanistan,Field,India,78.0012400257653,92.91046456992402,69.73004196835407,65.24926598404686,0.8621527905677056,0.3365146707144534,1,9,69.57940912771244,78.50185901152415,320,269,51 runs,India,Virat Kohli,Kuldeep Yadav,0.843842185209877,269.4,258.3
Chennai,Home_India,India,Field,Afghanistan,85.79593030424498,83.9689104395664,67.33026929245162,72.55928454350807,0.7690073824308155,0.600949811775072,1,9,83.74737131177545,73.68854428383662,263,257,8 wickets,India,Virat Kohli,Kuldeep Yadav,0.8010404688719032,268.7,256.9
Mumbai,Home_India,India,Bat,India,72.28015257621726,84.88840609405163,61.43896900041611,77.63916429344592,0.6766122005493508,0.6550816731033199,1,9,70.52745037656236,53.512010492828175,332,294,38 runs,India,Rohit Sharma,Naveen-ul-Haq,0.7967410500257466,278.3,262.5
Chennai,Home_India,India,Field,Afghanistan,85.45545158290653,77.0224535224558,62.102670152874936,81.12229002355976,0.5291052025456774,0.6287440237161425,1,9,81.18726681469488,52.44046341925699,198,196,5 wickets,India,Shubman Gill,Jasprit Bumrah,0.8172434401962343,273.7,258.3
Delhi,Home_India,Afghanistan,Bat,Afghanistan,90.31998918143756,93.94497154767717,84.65002659557177,82.32769826095566,0.6505038342123663,0.3334002866794675,1,9,83.3144074778231,66.75212749207415,203,197,8 wickets,India,Virat Kohli,Fazalhaq Farooqi,0.7761234201018284,269.2,253.8
Dubai,Neutral,Afghanistan,Field,India,80.6055502311744,93.12708770189472,62.77993705765378,76.33037739868976,0.5045414579069676,0.4874642567976505,1,9,61.68909827045512,53.564537488042156,329,296,33 runs,India,Shubman Gill,Mohammed Shami,0.7824792870788316,277.1,258.3
Mumbai,Home_India,Afghanistan,Field,India,88.65112198163558,86.6673753019432,84.05431371186354,73.62202332904519,0.6142848345127443,0.6474396512757841,1,9,66.70787515558358,78.89667618321835,326,276,50 runs,India,Rohit Sharma,Mohammed Siraj,0.8432045836238623,278.4,258.6
Chennai,Home_India,India,Field,Afghanistan,71.84491411838498,86.07708568802641,84.23256339047748,77.03125041591342,0.751759455254105,0.5782994755938469,1,9,73.6362319430332,68.8267424025219,272,266,6 wickets,India,Rohit Sharma,Fazalhaq Farooqi,0.8178529845436943,278.7,258.8
Mumbai,Home_India,Afghanistan,Bat,Afghanistan,71.13615950853645,80.6192637918446,83.76028710191397,85.47606702949108,0.6822627011142852,0.5480530391206146,1,9,68.32143548943398,55.64363479171284,246,245,7 wickets,India,Virat Kohli,Mohammed Shami,0.8326637147771005,276.9,257.5
Dubai,Neutral,Afghanistan,Bat,Afghanistan,81.59246012349955,82.06704456052105,74.59140279627181,66.78789665019465,0.8897579230664666,0.6944842977918411,1,9,80.94485142059236,66.08289099032362,282,303,21 runs,Afghanistan,Shubman Gill,Rashid Khan,0.777111176193543,277.1,259.9
Dubai,Neutral,Afghanistan,Bat,Afghanistan,87.11827931384698,78.25233878689782,82.77317961234607,83.91835658723289,0.8799199653167696,0.590287803355344,1,9,78.4024558780737,62.547291088718566,278,275,7 wickets,India,Virat Kohli,Mohammed Shami,0.8043790189929872,272.9,260.5
Chennai,Home_India,India,Field,Afghanistan,94.68190323287361,78.00833782207056,74.85326788380338,73.7604897025135,0.8879657591258413,0.6368475692542834,1,9,85.14986114133413,64.06079479384911,262,268,6 runs,Afghanistan,Mohammad Nabi,Fazalhaq Farooqi,0.8471396266989498,272.8,261.6
Chennai,Home_India,India,Bat,India,71.40938741627318,92.29444752510106,80.32252522825195,87.99350648558101,0.8986547348295622,0.522172682241051,1,9,83.06962245541531,78.34297189647285,302,262,40 runs,India,Hashmatullah Shahidi,Mohammed Shami,0.7818703899028218,269.8,258.4
Dubai,Neutral,Afghanistan,Field,India,81.26360338275234,77.5831883030299,83.85127568146805,78.94201659237024,0.5914571222013851,0.5686802737623426,1,9,78.54384721373688,60.74488154098522,275,279,5 wickets,Afghanistan,Hashmatullah Shahidi,Jasprit Bumrah,0.7660476476317042,277.5,266.7
Chennai,Home_India,India,Field,Afghanistan,72.83893980499073,88.43146391185599,73.00769252259484,82.7633230099197,0.7080654004447974,0.640872600127416,1,9,76.55720516323457,66.82813914606159,233,232,4 wickets,India,Rahmanullah Gurbaz,Ravindra Jadeja,0.8010886008224665,280.5,270.2
Mumbai,Home_India,India,Field,Afghanistan,73.35038071126601,75.57565352626678,78.87843139184048,79.26711968112969,0.7816319072396894,0.3851856646035643,1,9,64.0911442676031,50.43633997003646,274,269,5 wickets,India,Virat Kohli,Jasprit Bumrah,0.7887821088724877,275.0,267.5
Chennai,Home_India,India,Bat,India,78.76468897016493,86.79835373709267,69.8061011274933,75.06192320654577,0.8616634777974994,0.4393021868093201,1,9,75.41968467479433,73.5095903822343,300,301,3 wickets,Afghanistan,Mohammad Nabi,Fazalhaq Farooqi,0.7659577232786714,272.4,270.0
Chennai,Home_India,India,Bat,India,91.55909271866864,93.99041247315284,63.67683702322595,86.31151537871438,0.6968465172318152,0.40329775531958334,1,9,73.77407268714784,79.40097725856431,278,270,8 runs,India,KL Rahul,Jasprit Bumrah,0.8388551382703369,273.0,270.4
Chennai,Home_India,India,Bat,India,85.83502135791815,79.80291237556386,61.8965832027166,67.96423360394493,0.551218335583109,0.3607610774049177,1,9,64.1648151794823,69.22624234409643,317,278,39 runs,India,Virat Kohli,Mohammed Shami,0.8490723910553778,280.1,273.7
Dubai,Neutral,Afghanistan,Bat,Afghanistan,92.4197102476503,84.47923280525745,76.68894346302568,68.96335703763748,0.5769156075234683,0.3163474465065915,1,9,65.06805189216493,58.35771017095876,211,208,7 wickets,India,Shubman Gill,Mohammed Shami,0.8068582180689998,273.0,264.2
Kabul,Home_Afg,Afghanistan,Field,India,74.42526210691867,76.77405067514111,63.01589677751502,75.5979116647527,0.582533487362317,0.4457079444192302,1,9,75.1025181256457,70.71184485888097,299,245,54 runs,India,Shubman Gill,Jasprit Bumrah,0.8274676768373455,275.1,261.2
Delhi,Home_India,Afghanistan,Field,India,91.83946560266943,93.41744801063626,61.526948996371594,71.36818590738568,0.8224805119172245,0.5993038761534633,1,9,65.53563058069132,56.28047970010131,311,308,3 runs,India,Virat Kohli,Mujeeb Ur Rahman,0.83590383695463,280.0,265.2
Mumbai,Home_India,Afghanistan,Bat,Afghanistan,85.4563692882574,82.37827279139545,71.5633679033287,82.1918315770764,0.5146732811562391,0.40097477773760826,1,9,81.40048757653658,76.85620513061598,335,332,6 wickets,India,Rohit Sharma,Mohammed Siraj,0.8200982006021827,283.3,272.2
Sharjah,Neutral,India,Bat,India,72.6793002834944,83.9482473364691,73.31543166137558,70.57682158359879,0.6076972923797523,0.45091366524184906,1,9,60.602135933331795,59.66237496749535,353,316,37 runs,India,Virat Kohli,Mohammed Siraj,0.7544156049111732,291.1,275.9
Chennai,Home_India,Afghanistan,Field,India,72.99405329548128,92.8105456147979,74.83981133885122,80.61935334032326,0.8156684954429354,0.4993768795716229,1,9,62.60760864262271,66.11319625455644,232,233,5 wickets,Afghanistan,Rahmanullah Gurbaz,Mujeeb Ur Rahman,0.7657634231716818,291.0,276.0
Dubai,Neutral,Afghanistan,Field,India,84.67102795052197,89.9087894836866,70.79148865574199,67.93434696429797,0.6135103623194897,0.445232918559454,1,9,79.37751723994803,67.12334914006736,225,230,5 wickets,Afghanistan,Ibrahim Zadran,Fazalhaq Farooqi,0.7570989191151387,286.1,272.1
Chennai,Home_India,India,Field,Afghanistan,72.5445618155101,78.05718278368664,66.1489432096127,68.69567158496979,0.5746268096205223,0.4140380674775388,1,9,65.20120785884265,76.90296273879275,261,256,5 wickets,India,Rohit Sharma,Mohammed Siraj,0.7509879606642057,282.2,267.6
Sharjah,Neutral,Afghanistan,Bat,Afghanistan,72.00584364154105,85.49022779140509,70.25992067474154,87.59470818889795,0.5448155608672209,0.45914223961829664,1,9,89.08411299826106,75.96521377681941,224,265,41 runs,Afghanistan,Rahmanullah Gurbaz,Rashid Khan,0.7805996408757236,276.8,267.1
Mumbai,Home_India,Afghanistan,Bat,Afghanistan,74.27218968475165,88.37286439848862,83.23439972818964,77.80554653932039,0.7286450757879599,0.41199163746411366,1,9,83.0847879957581,55.6113124567257,258,260,2 runs,Afghanistan,KL Rahul,Jasprit Bumrah,0.7892355960481561,270.9,265.3
Sharjah,Neutral,Afghanistan,Field,India,82.69025946711137,79.8481946483016,62.870920618480085,79.04426097615755,0.6154522212961023,0.5324952885690448,1,9,64.63088145822607,64.43420305564453,300,250,50 runs,India,Virat Kohli,Ravindra Jadeja,0.7741029732335927,279.8,269.5
Delhi,Home_India,India,Field,Afghanistan,78.41510695484801,77.68829353877949,61.58437426181919,87.76908534496874,0.6289415379898892,0.623949778341854,1,9,67.63921964291292,70.44508166671788,260,255,4 wickets,India,Rohit Sharma,Fazalhaq Farooqi,0.7564604648086322,275.9,270.5
Delhi,Home_India,Afghanistan,Bat,Afghanistan,81.78940471375395,83.23681828294536,68.72170666357488,86.37917031769999,0.8322477631150917,0.686010764266605,1,9,63.728916704566345,71.92602425610933,285,316,31 runs,Afghanistan,Ibrahim Zadran,Noor Ahmad,0.8029863090836677,273.3,271.3
Dubai,Neutral,Afghanistan,Bat,Afghanistan,84.3618278294978,91.83657553516544,63.494309415657234,83.29114817277747,0.5806509280190978,0.36546237714628177,1,9,64.92797393792979,74.43724160694146,241,235,4 wickets,India,Suryakumar Yadav,Jasprit Bumrah,0.7773319319957142,263.9,261.6
Mumbai,Home_India,India,Bat,India,86.629930517405,85.46130849538238,68.97076210308757,85.17561243870149,0.6569780429690542,0.6266397757886308,1,9,73.17404725710655,61.30833288274722,263,221,42 runs,India,Rohit Sharma,Mohammed Shami,0.8296037154863563,254.9,252.1
Delhi,Home_India,India,Field,Afghanistan,88.69023450440628,85.05440780184958,65.80531737867044,85.69021518531508,0.6535564885492846,0.5174211444455954,1,9,87.19416332893641,68.72713987741976,201,195,7 wickets,India,Rohit Sharma,Jasprit Bumrah,0.7508052621625282,251.8,248.3
Sharjah,Neutral,India,Field,Afghanistan,73.48180181658468,90.88050378540592,75.50181889821283,77.26960511545539,0.857557033220383,0.6154388844898122,1,9,64.55024639198254,59.35166203386645,276,274,5 wickets,India,Ibrahim Zadran,Kuldeep Yadav,0.834252705128761,256.9,252.7
Sharjah,Neutral,Afghanistan,Field,India,76.21222849536164,89.87892585145354,60.83831086839449,78.10746275204028,0.8049834742962763,0.6507062547046998,1,9,70.26245246147722,74.63771914016039,311,281,30 runs,India,Shubman Gill,Mohammed Siraj,0.8454753678945958,261.9,255.2
Dubai,Neutral,Afghanistan,Bat,Afghanistan,89.93238414448884,77.99834854697548,65.73128488081603,81.61180907304052,0.7880146146184297,0.5564590531541189,1,9,80.818453334013,66.28173330042789,220,216,6 wickets,India,Shubman Gill,Jasprit Bumrah,0.821613506315357,261.5,250.3
Sharjah,Neutral,India,Field,Afghanistan,74.53994292003564,93.16901122667257,74.58479486915301,74.21958258556371,0.6848023214576531,0.6789133358447261,1,9,64.6005420934824,67.58689496050391,204,202,7 wickets,India,Virat Kohli,Mohammed Shami,0.8233644065262566,256.1,244.5
Dubai,Neutral,Afghanistan,Bat,Afghanistan,82.64721697211165,87.22908470869295,60.452754595521014,85.05884990571548,0.872847312993445,0.5260532734356835,1,9,80.89952471630677,77.67498143531887,220,216,6 wickets,India,Hashmatullah Shahidi,Jasprit Bumrah,0.8433562311602734,248.1,241.1
Kabul,Home_Afg,Afghanistan,Bat,Afghanistan,84.40720900417033,87.13430092765712,70.60326678255964,81.93821741936863,0.8737468059076059,0.6702274051627105,1,9,73.52518114212396,53.39714137522266,257,254,6 wickets,India,Virat Kohli,Ravindra Jadeja,0.770907128530035,247.8,241.0
Delhi,Home_India,Afghanistan,Field,India,94.62102997405836,91.77796172891868,63.11656703008167,86.17936330019955,0.8479585448248513,0.5075352228504288,1,9,77.73826307234788,61.970081116103906,315,274,41 runs,India,Virat Kohli,Mohammed Siraj,0.8494565568208577,250.8,236.8
Delhi,Home_India,India,Field,Afghanistan,90.07133621495029,75.09264046009206,68.3374792922786,74.1578799525917,0.7149582411751692,0.6679422465651041,1,9,70.39037983097884,60.40859605688683,232,229,7 wickets,India,Mohammad Nabi,Mohammed Shami,0.8273481203378542,249.9,236.2
Chennai,Home_India,India,Field,Afghanistan,75.61512057349955,84.04879032265387,63.521425509494996,69.05690068964313,0.6993471090957919,0.46757017980181914,1,9,87.445377032043,60.871816973498994,295,290,7 wickets,India,Rohit Sharma,Ravindra Jadeja,0.8226570708327794,253.1,243.1
Delhi,Home_India,India,Field,Afghanistan,84.51470875695108,87.6452857583906,60.32736141470834,80.26135955638435,0.5712143867479006,0.684428126987782,1,9,64.4598818325934,62.43872371181071,314,344,30 runs,Afghanistan,Rahmanullah Gurbaz,Mujeeb Ur Rahman,0.7861090578995293,264.4,258.0
Dubai,Neutral,India,Field,Afghanistan,71.67691193471069,89.99920940798356,65.24763982738965,85.65524865713641,0.5820558561928029,0.37627508826546663,1,9,61.09649003544285,64.16200835329998,222,218,5 wickets,India,Suryakumar Yadav,Mohammed Shami,0.8045777485405611,259.0,252.4
Kabul,Home_Afg,Afghanistan,Field,India,89.38819041737526,84.06577669496055,73.1097567331895,75.13754317957924,0.6603052243501304,0.5238561325232871,1,9,64.65720737792138,55.45784391485813,262,267,5 wickets,Afghanistan,Hashmatullah Shahidi,Rashid Khan,0.8153917788273347,254.1,251.0
Chennai,Home_India,Afghanistan,Bat,Afghanistan,91.54464052533794,93.92230924267265,69.33273290699383,71.22712748230174,0.7575998172956063,0.46349366843923856,1,9,60.761590669810346,54.68457792098571,272,268,6 wickets,India,Virat Kohli,Kuldeep Yadav,0.8120342861317217,259.3,256.2
Mumbai,Home_India,India,Field,Afghanistan,70.67739981258708,79.43944323865898,65.77686991470179,80.45353310277075,0.5078842151017456,0.3416434327938295,1,9,83.99748256119568,55.356339861630005,282,278,4 wickets,India,Virat Kohli,Mohammed Shami,0.8204984638477582,267.1,263.8
Chennai,Home_India,India,Field,Afghanistan,86.31865269629687,79.76365562093453,62.486034818983626,70.59296039298745,0.7889067727422636,0.6422785872425143,1,9,84.90659593700974,61.915505888553646,213,252,39 runs,Afghanistan,Rahmanullah Gurbaz,Kuldeep Yadav,0.7582381739078411,266.4,267.4
Delhi,Home_India,Afghanistan,Bat,Afghanistan,77.32869325652533,92.9267163704224,60.3250480877684,66.96669620965277,0.5831545020584109,0.3106128815495279,1,9,65.44306305269392,67.49124682909077,271,267,5 wickets,India,Rohit Sharma,Kuldeep Yadav,0.7855648432831697,267.8,268.7
Dubai,Neutral,India,Field,Afghanistan,90.43608904346102,81.83634703395752,66.48558583578232,73.73292538784713,0.7361179770059231,0.40722545632915047,1,9,78.72446723547402,62.28234956573721,274,275,1 runs,Afghanistan,Hashmatullah Shahidi,Rashid Khan,0.7934000016595477,263.7,268.8
Dubai,Neutral,India,Bat,India,77.36164398854794,93.96906613924313,79.09014485399402,68.2226030426284,0.8473871903591652,0.4949724792998054,1,9,86.83656680682274,73.99565767841946,370,328,42 runs,India,Shubman Gill,Rashid Khan,0.7760629297874967,277.5,278.7
